PLAYERS,,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS
J. Simmons,,4,170.30,49,99,49%,11,37,30%,39,47,83%,20,8,0,2,34,36,11,21,39,148
K. Murphy,,7,305.20,95,195,49%,33,80,41%,34,42,81%,25,11,2,20,58,78,25,25,-15,257
J. Williams,,11,479.33,126,276,46%,44,130,34%,82,109,75%,41,27,11,20,82,102,18,41,-96,378
J. Franklin,,10,442.35,88,213,41%,50,154,32%,114,125,91%,76,18,16,17,100,117,35,52,19,340
J. Hudson,,6,246.78,68,133,51%,24,59,41%,43,60,72%,25,9,9,8,48,56,18,23,50,203
W. Selden Jr.,,7,311.87,77,166,46%,21,63,33%,48,72,67%,47,17,5,9,37,46,26,27,11,223
M. Weathers,,4,170.02,45,75,60%,7,19,37%,30,48,63%,10,7,5,8,32,40,12,14,-36,127
R. Hollis-Jefferson,,5,189.30,55,114,48%,0,7,0%,45,57,79%,29,12,5,16,44,60,11,11,87,155
C. Clark,,11,426.52,131,224,58%,0,2,0%,63,78,81%,39,7,8,37,83,120,33,19,107,325
A. Hester,,8,332.37,89,139,64%,5,11,45%,40,64,63%,36,11,4,42,84,126,22,22,119,223
J. Brownlee,,11,463.18,111,208,53%,23,73,32%,55,60,92%,81,7,16,16,93,109,18,26,77,300
J. Brownlee,,11,463.18,111,208,53%,23,73,32%,55,60,92%,81,7,16,16,93,109,18,26,77,300
J. Brownlee,,11,463.18,111,208,53%,23,73,32%,55,60,92%,81,7,16,16,93,109,18,26,77,300
M. Qualls,,4,158.07,32,96,33%,9,35,26%,33,50,66%,14,4,3,12,34,46,7,10,-45,106
K. McDaniels,,11,469.13,109,220,50%,16,55,29%,52,90,58%,35,17,16,57,125,182,37,42,49,286
K. McDaniels,,11,469.13,109,220,50%,16,55,29%,52,90,58%,35,17,16,57,125,182,37,42,49,286
K. McDaniels,,11,469.13,109,220,50%,16,55,29%,52,90,58%,35,17,16,57,125,182,37,42,49,286
J. Tiongson,,11,405.53,87,174,50%,37,80,46%,45,53,85%,37,16,1,6,30,36,40,23,-58,256
J. Tiongson,,11,405.53,87,174,50%,37,80,46%,45,53,85%,37,16,1,6,30,36,40,23,-58,256
J. Tiongson,,11,405.53,87,174,50%,37,80,46%,45,53,85%,37,16,1,6,30,36,40,23,-58,256
C. Standhardinger,,9,333.50,85,135,63%,0,0,0%,36,55,65%,54,6,2,29,63,92,26,30,35,206
C. Standhardinger,,9,333.50,85,135,63%,0,0,0%,36,55,65%,54,6,2,29,63,92,26,30,35,206
C. Standhardinger,,9,333.50,85,135,63%,0,0,0%,36,55,65%,54,6,2,29,63,92,26,30,35,206
D. Maxwell,,11,445.88,98,175,56%,0,7,0%,50,75,67%,48,18,35,31,107,138,33,43,-36,246
R. Bolick Jr.,,7,254.05,50,104,48%,14,46,30%,37,43,86%,43,7,1,5,33,38,19,8,-21,151
R. Bolick Jr.,,7,254.05,50,104,48%,14,46,30%,37,43,86%,43,7,1,5,33,38,19,8,-21,151
R. Bolick Jr.,,7,254.05,50,104,48%,14,46,30%,37,43,86%,43,7,1,5,33,38,19,8,-21,151
S. Glover,,8,296.87,68,140,49%,7,18,39%,25,30,83%,31,9,12,23,49,72,23,31,-96,168
E. McCree,,3,131.13,20,52,38%,7,27,26%,16,20,80%,8,4,4,1,39,40,6,9,0,63
J. Perez,,11,350.28,86,177,49%,13,46,28%,43,62,69%,48,16,3,17,57,74,37,27,139,228
J. Perez,,11,350.28,86,177,49%,13,46,28%,43,62,69%,48,16,3,17,57,74,37,27,139,228
J. Perez,,11,350.28,86,177,49%,13,46,28%,43,62,69%,48,16,3,17,57,74,37,27,139,228
R. Pogoy,,10,315.60,77,134,57%,32,59,54%,20,30,67%,16,13,2,11,35,46,21,15,92,206
R. Pogoy,,10,315.60,77,134,57%,32,59,54%,20,30,67%,16,13,2,11,35,46,21,15,92,206
R. Pogoy,,10,315.60,77,134,57%,32,59,54%,20,30,67%,16,13,2,11,35,46,21,15,92,206
M. Ahanmisi,,11,368.98,76,153,50%,33,81,41%,36,50,72%,33,14,1,11,59,70,31,28,60,221
M. Ahanmisi,,11,368.98,76,153,50%,33,81,41%,36,50,72%,33,14,1,11,59,70,31,28,60,221
M. Ahanmisi,,11,368.98,76,153,50%,33,81,41%,36,50,72%,33,14,1,11,59,70,31,28,60,221
K. Alas,,11,292.80,70,131,53%,23,49,47%,37,43,86%,33,9,2,10,37,47,21,24,48,200
K. Alas,,11,292.80,70,131,53%,23,49,47%,37,43,86%,33,9,2,10,37,47,21,24,48,200
K. Alas,,11,292.80,70,131,53%,23,49,47%,37,43,86%,33,9,2,10,37,47,21,24,48,200
P. Lee,,11,336.62,65,154,42%,36,93,39%,26,29,90%,39,5,1,10,35,45,26,17,98,192
P. Lee,,11,336.62,65,154,42%,36,93,39%,26,29,90%,39,5,1,10,35,45,26,17,98,192
P. Lee,,11,336.62,65,154,42%,36,93,39%,26,29,90%,39,5,1,10,35,45,26,17,98,192
J. Malonzo,,11,370.57,68,135,50%,25,63,40%,26,37,70%,29,6,12,31,49,80,28,25,54,187
J. Malonzo,,11,370.57,68,135,50%,25,63,40%,26,37,70%,29,6,12,31,49,80,28,25,54,187
J. Malonzo,,11,370.57,68,135,50%,25,63,40%,26,37,70%,29,6,12,31,49,80,28,25,54,187
M. Williams,,11,361.72,64,158,41%,33,92,36%,17,27,63%,45,9,0,5,40,45,18,20,116,178
M. Williams,,11,361.72,64,158,41%,33,92,36%,17,27,63%,45,9,0,5,40,45,18,20,116,178
M. Williams,,11,361.72,64,158,41%,33,92,36%,17,27,63%,45,9,0,5,40,45,18,20,116,178
A. Maliksi,,10,256.93,50,102,49%,24,63,38%,35,37,95%,12,7,0,2,33,35,27,11,49,159
